disasterNumber,declarationDate,incidentType,title,state,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount
4274,2016-07-15T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Oklahoma,787474.0,145331.68,680649.32
1276,1999-05-17T00:00:00.000Z,Severe Storm,CO-FLOODING 4/30/99,Colorado,1097391.0,243058.0,1158596.0
873,1990-07-04T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Nebraska,299421.0,0.0,322559.0
4229,2015-07-16T00:00:00.000Z,Flood,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",Colorado,3142264.0,1193480.06,2102440.94
1186,1997-08-01T00:00:00.000Z,Flood,"SEVERE STORMS, HEAVY RAIN, FLASH FLOODS, FLOODING, MUDSLIDES",Colorado,2135400.0,733953.0,1460344.0
1389,2001-08-16T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING AND MUDSLIDES",District of Columbia,694221.0,637652.0,255255.0
954,1992-08-19T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Nebraska,153679.0,0.0,166237.0
1572,2004-11-15T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING FROM THE REMNANTS OF ",Delaware,64108.0,73854.0,8602.0
1427,2002-07-11T00:00:00.000Z,Typhoon,"TS CHATA'AN, INC FLOODING, MUDSLIDES AND LANDSLIDES",Federated States of Micronesia,3631229.0,2794606.0,1810224.0
1221,1998-06-12T00:00:00.000Z,Flood,FLOODING,Oregon,313566.0,0.0,330387.0
884,1990-12-06T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Arizona,99461.0,0.0,107926.0
977,1993-01-19T00:00:00.000Z,Flood,"SEVERE STORMS, TORNADOES & FLOODING",Arizona,8346774.0,495583.0,8175282.0
1833,2009-04-23T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",Georgia,5488365.0,305897.0,5450849.0
1858,2009-09-24T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Georgia,33786725.0,7674410.0,27764486.0
1348,2000-11-09T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Hawaii,1371909.0,576287.0,1154842.0
4062,2012-04-18T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND LANDSLIDES",Hawaii,533344.0,472395.0,95524.0
1640,2006-05-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Hawaii,636249.0,396432.0,400486.0
1814,2009-01-05T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Hawaii,1247010.0,1307989.0,0.0
4116,2013-05-10T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",Illinois,29481608.0,5845937.42,25077321.58
4288,2016-10-20T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",Wisconsin,1745397.0,296550.83,1534196.17
4389,2018-08-31T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, AND LANDSLIDES",Arizona,77334.0,92802.0,0.0
1743,2008-02-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, HIGH SURF, FLOODING, AND MUDSLIDES",Hawaii,457763.0,141021.0,339127.0
4365,2018-05-08T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Hawaii,3130827.0,545438.04,3211553.96
1998,2011-06-27T00:00:00.000Z,Flood,FLOODING,Iowa,14196201.0,3928091.0,10962304.0
4016,2011-08-24T00:00:00.000Z,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,1688831.0,252842.0,1518573.0
4018,2011-08-30T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Iowa,844086.0,53119.0,832243.0
1277,1999-05-21T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Iowa,2460536.0,681213.0,2449736.0
870,1990-06-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Ohio,663441.0,33441.0,667672.0
4211,2015-04-02T00:00:00.000Z,Severe Ice Storm,SEVERE WINTER STORM AND FLOODING,Tennessee,5225692.0,1878736.62,3602491.38
1120,1996-06-18T00:00:00.000Z,Flood,"FLOODING, SEVERE STORMS",Pennsylvania,663057.0,0.0,697172.0
1093,1996-01-21T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Pennsylvania,21373561.0,368046.0,21604181.0
935,1992-02-25T00:00:00.000Z,Flood,"RAIN/SNOW/WIND STORMS, FLOODING, MUDSLIDES",California,2303555.0,328.0,2423172.0
1654,2006-07-05T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Delaware,50176.0,10983.0,53347.0
1973,2011-04-29T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",Georgia,5130028.0,1049525.0,4331361.0
